      0/99     1.42G    0.1024   0.04858   0.02793    0.1789        45       416  0.007638   0.02646  0.001688 0.0003018   0.09823   0.03726   0.02359
      1/99     1.45G   0.08926   0.04694   0.02175    0.1579        58       416    0.7635    0.1068   0.07801   0.02076    0.0719   0.03573   0.02084
      2/99     1.45G   0.07666   0.04338   0.01986    0.1399        38       416    0.6336    0.2698    0.2262   0.07988   0.06201   0.03053   0.01465
      3/99     1.45G   0.06741   0.04017   0.01385    0.1214        44       416    0.6562    0.3353    0.2609     0.111   0.05661   0.03195  0.009813
      4/99     1.45G   0.05996   0.03801    0.0112    0.1092        35       416    0.8503    0.4044    0.4617    0.2141   0.05058   0.02525  0.007684
      5/99     1.45G   0.05624   0.03621  0.009916    0.1024        43       416     0.882      0.45    0.5088    0.2588   0.04422   0.02323  0.005912
      6/99     1.45G   0.05288   0.03521  0.008858   0.09695        26       416     0.906     0.478    0.5364    0.2849   0.04217    0.0224  0.005308
      7/99     1.45G   0.05119   0.03416  0.008413   0.09376        51       416    0.9109     0.464    0.5323     0.288   0.04153    0.0222  0.006148
      8/99     1.45G   0.04894   0.03294  0.007736   0.08962        44       416     0.928    0.4886    0.5546    0.2993    0.0401   0.02102  0.004537
      9/99     1.45G   0.04775   0.03244  0.007118   0.08731        36       416    0.9177    0.5085    0.5615    0.3059   0.03922   0.02086  0.004395
     10/99     1.45G   0.04671   0.03214  0.007359   0.08621        22       416    0.9291    0.5108    0.5688    0.3206   0.03821   0.02069  0.004298
     11/99     1.45G   0.04558   0.03175  0.006959   0.08428        28       416    0.9395    0.5196    0.5765    0.3212    0.0373   0.02014  0.003979
     12/99     1.45G   0.04488   0.03179  0.006728    0.0834        30       416    0.9311    0.5227    0.5782    0.3218   0.03715   0.01972  0.004048
     13/99     1.45G   0.04383    0.0308  0.006207   0.08084        28       416    0.9344    0.5231    0.5793    0.3298   0.03673   0.01976     0.004
     14/99     1.45G   0.04365   0.03087  0.006249   0.08077        43       416    0.9355    0.5281    0.5862    0.3352   0.03606   0.01985  0.003796
     15/99     1.45G   0.04305   0.03026  0.006037   0.07934        41       416    0.9364    0.5315    0.5886     0.341   0.03537   0.01928  0.003985
     16/99     1.45G   0.04254   0.03081    0.0059   0.07925        49       416    0.9378     0.534    0.5894    0.3383    0.0354   0.01935  0.003532
     17/99     1.45G   0.04185   0.02976   0.00569   0.07731        40       416     0.947    0.5333    0.5946     0.342   0.03504   0.01914  0.003391
     18/99     1.45G   0.04152   0.02995  0.005528     0.077        57       416    0.9406    0.5352    0.5943    0.3468   0.03454   0.01911  0.003452
     19/99     1.45G    0.0412   0.02968  0.005297   0.07618        46       416    0.9407    0.5465    0.5988      0.35   0.03416   0.01864  0.003233
     20/99     1.45G   0.04101   0.02964  0.005451    0.0761        64       416    0.9393    0.5505    0.6001    0.3482   0.03411   0.01888  0.003443
     21/99     1.45G   0.04025   0.02867  0.005244   0.07416        55       416    0.9446    0.5458    0.6033    0.3532   0.03361   0.01859  0.003334
     22/99     1.45G   0.04054   0.02924  0.005225   0.07501        39       416    0.9525    0.5483    0.6061    0.3495   0.03358    0.0186  0.003012
     23/99     1.45G   0.04003   0.02917  0.005331   0.07453        40       416    0.9511     0.551    0.6048    0.3593    0.0331   0.01844  0.003059
     24/99     1.45G   0.03979   0.02861  0.005078   0.07347        43       416    0.9378    0.5505     0.603    0.3555   0.03386   0.01868  0.003255
     25/99     1.45G   0.03924   0.02879  0.004923   0.07295        45       416    0.9464    0.5554     0.607    0.3613   0.03299   0.01825  0.003079
     26/99     1.45G   0.03957   0.02873  0.004758   0.07306        40       416    0.9511    0.5532    0.6083    0.3577   0.03293   0.01835   0.00283
     27/99     1.45G   0.03859   0.02852  0.004778   0.07188        62       416    0.9459    0.5562    0.6063    0.3619   0.03309   0.01824  0.002963
     28/99     1.45G   0.03858   0.02839  0.004812   0.07179        57       416    0.9417    0.5662    0.6125    0.3672   0.03237   0.01809  0.002958
     29/99     1.45G   0.03853   0.02818  0.004829   0.07154        37       416    0.9478    0.5656    0.6118    0.3674    0.0323   0.01807  0.002903
     30/99     1.45G   0.03844   0.02848  0.004774   0.07169        42       416     0.951    0.5587    0.6135      0.37   0.03215     0.018  0.002738
     31/99     1.45G   0.03848   0.02897  0.004651    0.0721        53       416    0.9573    0.5568    0.6138    0.3692    0.0323   0.01797  0.002856
     32/99     1.45G   0.03762   0.02771  0.004457   0.06979        15       416    0.9442    0.5668    0.6138    0.3665   0.03246   0.01802  0.002767
     33/99     1.45G   0.03769   0.02795   0.00464   0.07028        40       416    0.9427    0.5706    0.6156    0.3723   0.03201   0.01779  0.002961
     34/99     1.45G   0.03783   0.02805  0.004573   0.07045        25       416    0.9509    0.5668    0.6161    0.3701   0.03184   0.01789  0.002682
     35/99     1.45G   0.03731   0.02803  0.004541   0.06988        23       416    0.9586    0.5599     0.614    0.3749   0.03152   0.01782  0.002824
     36/99     1.45G   0.03716   0.02766  0.004251   0.06907        38       416    0.9485    0.5696    0.6184     0.376   0.03162    0.0178  0.002732
     37/99     1.45G    0.0372   0.02779  0.004229   0.06922        39       416    0.9514    0.5654    0.6172     0.377   0.03153   0.01756  0.002617
     38/99     1.45G   0.03701   0.02767  0.004296   0.06897        26       416     0.953    0.5695    0.6191     0.376   0.03153   0.01771  0.002754
     39/99     1.45G   0.03661    0.0277    0.0041   0.06841        42       416    0.9588    0.5634    0.6186    0.3792   0.03126   0.01756  0.002624
     40/99     1.45G   0.03679   0.02755  0.004166   0.06851        37       416    0.9432    0.5776    0.6187    0.3794   0.03113    0.0177   0.00258
     41/99     1.45G   0.03597   0.02722  0.003969   0.06716        33       416     0.948    0.5743    0.6202    0.3806   0.03104   0.01759   0.00265
     42/99     1.45G   0.03647   0.02754  0.004104   0.06811        33       416    0.9492    0.5734    0.6198    0.3783   0.03107   0.01763  0.002508
     43/99     1.45G   0.03612   0.02733   0.00405    0.0675        33       416     0.944    0.5791    0.6192      0.38   0.03108   0.01773  0.002681
     44/99     1.45G     0.036   0.02707  0.004096   0.06717        30       416    0.9526    0.5735    0.6227    0.3827   0.03084   0.01749  0.002637
     45/99     1.45G   0.03566   0.02746   0.00397   0.06709        24       416    0.9577    0.5708    0.6236    0.3843    0.0307   0.01745   0.00259
     46/99     1.45G   0.03578   0.02725  0.003982   0.06702        27       416    0.9519     0.575    0.6233    0.3836    0.0307   0.01757  0.002633
     47/99     1.45G   0.03567   0.02648  0.003787   0.06594        26       416    0.9511    0.5772    0.6244    0.3853   0.03057   0.01756  0.002602
     48/99     1.45G   0.03546   0.02713  0.003931   0.06652        29       416    0.9505    0.5797    0.6223    0.3843   0.03056   0.01728  0.002556
     49/99     1.45G   0.03528   0.02649  0.003816   0.06559        63       416    0.9525    0.5788    0.6252    0.3872   0.03038    0.0172  0.002579
     50/99     1.45G   0.03525   0.02632  0.003824    0.0654        24       416    0.9511    0.5799    0.6244    0.3869   0.03045   0.01731  0.002495
     51/99     1.45G   0.03521   0.02694  0.003719   0.06587        42       416    0.9558    0.5765    0.6251    0.3864   0.03055   0.01722  0.002541
     52/99     1.45G   0.03522   0.02714  0.003645   0.06601        26       416    0.9607    0.5748    0.6257    0.3879   0.03025   0.01703  0.002512
     53/99     1.45G   0.03532   0.02705  0.003779   0.06614        43       416    0.9546    0.5779     0.625    0.3869   0.03026   0.01716  0.002601
     54/99     1.45G   0.03515   0.02703  0.003736   0.06591        52       416    0.9543    0.5805    0.6242     0.388   0.03005   0.01713  0.002485
     55/99     1.45G   0.03507   0.02675  0.003812   0.06564        26       416    0.9602     0.575     0.627    0.3889   0.03011   0.01699  0.002337
     56/99     1.45G   0.03482   0.02647  0.003693   0.06499        74       416    0.9439    0.5875    0.6275     0.388   0.03025   0.01718  0.002535
     57/99     1.45G   0.03485   0.02642  0.003951   0.06522        34       416      0.95    0.5834    0.6265    0.3912   0.02995   0.01701  0.002496
     58/99     1.45G   0.03451   0.02662  0.003662   0.06478        33       416     0.958    0.5784    0.6271    0.3915   0.02993   0.01703  0.002399
     59/99     1.45G   0.03432    0.0266  0.003665   0.06458        37       416    0.9559    0.5814    0.6258    0.3903   0.02989     0.017  0.002404
     60/99     1.45G   0.03437   0.02623  0.003707   0.06431        19       416    0.9527    0.5849     0.628    0.3937   0.02979   0.01683  0.002341
     61/99     1.45G   0.03408   0.02597  0.003359   0.06341        24       416    0.9558    0.5809    0.6265    0.3901   0.02979   0.01685  0.002362
     62/99     1.45G   0.03406   0.02616  0.003335   0.06355        62       416     0.953    0.5846    0.6288    0.3917   0.02987   0.01691  0.002392
     63/99     1.45G   0.03381   0.02563  0.003254    0.0627        47       416    0.9589    0.5779    0.6276    0.3925    0.0298   0.01688  0.002294
     64/99     1.45G   0.03398   0.02587  0.003252   0.06309        27       416    0.9496    0.5901    0.6282     0.393   0.02974   0.01681  0.002343
     65/99     1.45G   0.03394   0.02607   0.00364   0.06366        36       416    0.9527    0.5873    0.6265    0.3916   0.02975   0.01692  0.002354
     66/99     1.45G   0.03412   0.02602  0.003456    0.0636        29       416    0.9584    0.5826    0.6286    0.3925    0.0296   0.01678  0.002368
     67/99     1.45G   0.03372   0.02636  0.003354   0.06344        54       416    0.9518    0.5881    0.6295    0.3946   0.02948   0.01679  0.002336
     68/99     1.45G   0.03337   0.02588   0.00313   0.06238        36       416    0.9531    0.5867    0.6284    0.3928    0.0295   0.01683  0.002334
     69/99     1.45G    0.0335   0.02605  0.003266   0.06282        33       416    0.9502    0.5856    0.6273    0.3935   0.02955   0.01681  0.002409
     70/99     1.45G   0.03347   0.02566  0.003186   0.06232        19       416    0.9495    0.5913    0.6277    0.3939   0.02944   0.01684  0.002267
     71/99     1.45G   0.03356   0.02573  0.003294   0.06258        20       416    0.9599    0.5842    0.6283    0.3951   0.02956   0.01686  0.002323
     72/99     1.45G    0.0333   0.02539   0.00291   0.06161         8       416    0.6219    0.5874    0.6282    0.3954   0.02946   0.01676  0.002271
     73/99     1.45G   0.03298   0.02545  0.003043   0.06147        34       416    0.9569    0.5863    0.6282     0.395   0.02936   0.01677  0.002312
     74/99     1.45G   0.03315   0.02602  0.003115   0.06228        47       416    0.6217    0.5858    0.6277    0.3964    0.0293    0.0168  0.002363
     75/99     1.45G   0.03311   0.02522  0.002954   0.06128        32       416    0.9532    0.5879    0.6276    0.3957   0.02934   0.01685   0.00233
     76/99     1.45G   0.03274    0.0253  0.003026   0.06107        22       416    0.9583    0.5832    0.6274    0.3962   0.02941   0.01679  0.002387
     77/99     1.45G   0.03305   0.02555  0.003143   0.06175        30       416    0.9579     0.582     0.628    0.3961   0.02928   0.01676   0.00235
